username,blitz_points,bullet_points,total_points,average_points
archer1624,170,246,416,13.87
KRISHNA843,118,187,305,13.86
sujitsuresh,206,348,554,13.85
uv_chess,110,250,360,13.85
Angirasnazar,55,111,166,13.83
lazy_loser,120,170,290,13.81
ether0547,185,256,441,13.78
aniksaha_aorno,136,166,302,13.73
Sid9766,41,41,82,13.67
Hitme1009,65,99,164,13.67
Pradnesh20,94,152,246,13.67
Ara_vind,414,679,1093,13.66
Nimit50,194,242,436,13.62
BakaSakuta,102,102,204,13.6
vibhor_57,165,215,380,13.57
ap2207,228,287,515,13.55
dhruv_2_1_2,17,10,27,13.5
sachin_nachi,397,411,808,13.47
Puranjay10,162,254,416,13.42
Amitanshu_Varshney,62,99,161,13.42
shreyas2302,134,161,295,13.41
Rohan_raju,228,226,454,13.35
Eni375,65,95,160,13.33
shaurya2704,153,139,292,13.27
WoodysBoard,281,340,621,13.21
Hitesh1729,93,171,264,13.2
Trilodhar,324,477,801,13.13
forcaandy2,47,58,105,13.12
samurf,158,260,418,13.06
ChadAashu0,282,397,679,13.06
kartikraj,327,454,781,13.02
N34L_09,173,256,429,13
Udittyagi07,214,330,544,12.95
karatekid08,83,98,181,12.93
Girinoob,276,343,619,12.9
sarthakrex,43,60,103,12.88
InsolubleTown,100,130,230,12.78
TarushTanwar,371,485,856,12.78
wimpykidwho,270,407,677,12.77
Krishna_Saran,348,416,764,12.73
abhishek010,55,110,165,12.69
tr_39,69,171,240,12.63
parr1281,165,251,416,12.61
Plut0nian,50,76,126,12.6
manas_j555,189,225,414,12.55
Quadra_Pirate,135,203,338,12.52
Archit_Mishra,66,84,150,12.5
RITWIKtr,84,115,199,12.44
leetcodee,60,89,149,12.42
sushantAPS12,113,171,284,12.35
minato_nami,41,82,123,12.3
HRR_2003,79,142,221,12.28
Pranay_Jha,281,269,550,12.22
agent-21bce8970,136,59,195,12.19
amith12,209,189,398,12.06
KazooTiger0111,222,236,458,12.05
Xionis,174,235,409,12.03
AnirudP,34,38,72,12
KaranRaina,0,12,12,12
sai26240,204,275,479,11.97
devanssuman,145,154,299,11.96
Kamal211,62,81,143,11.92
Uddhavkhetan,128,134,262,11.91
dha-nush,174,147,321,11.89
PRABHAT_DUTTA,215,390,605,11.86
Shadowop08,82,155,237,11.85
forcaandy,294,367,661,11.8
Viv_7,139,191,330,11.79
AnshP08,43,51,94,11.75
Abhay_Shyam,64,76,140,11.67
Rgoel,221,140,361,11.65
soham_patil_2003,291,416,707,11.59
siggylikespiggy,49,89,138,11.5
kumar_yoyo,128,215,343,11.43
heeethjain14,51,63,114,11.4
whitepleasee,182,225,407,11.31
ShreyashSancheti,37,76,113,11.3
Ace3435,271,338,609,11.28
Anish_Ringe,252,244,496,11.27
SatwikNookala,49,86,135,11.25
CheSSStriker01,127,244,371,11.24
jjtomar,286,319,605,11.2
Insaan0201,59,64,123,11.18
suryavadhani,167,190,357,11.16
nilayashtekar,170,253,423,11.13
rjain40,293,407,700,11.11
uzumakiroronoazoro,268,343,611,11.11
prxbhxth69,253,390,643,11.09
ArpitParashar,96,203,299,11.07
Invincible_3,93,150,243,11.05
Harsh_101011,160,237,397,11.03
Clapmasterr,111,131,242,11
EpicSTAR007,9,24,33,11
kei_karuizawa,135,236,371,10.91
Gauthamp,193,286,479,10.89
Aryanstyagi,193,285,478,10.86
Shadowop312,98,140,238,10.82
simmi29,377,531,908,10.81
shubhank1,102,125,227,10.81
johnnybhaiya007,88,117,205,10.79
VudathuBaashrith,229,310,539,10.78
b1azecraft,80,114,194,10.78
PhotoLi,37,49,86,10.75
Shreyasrini,148,196,344,10.75
Xx_AruN_xX,193,246,439,10.71
Priyanshu2610,116,140,256,10.67
KingRajan_03,392,512,904,10.64
DreParker,40,66,106,10.6
aakash234,85,136,221,10.52
Saki1811,61,86,147,10.5
zetroretro,55,91,146,10.43
Satheesh27,154,190,344,10.42
Thunder2003,28,55,83,10.38
i_am_noob777,129,210,339,10.27
Viswas13,92,123,215,10.24
Adi041,97,128,225,10.23
Zetronspy,86,116,202,10.1
streen_XD,128,143,271,10.04
RCROX,93,127,220,10
SIRBUNGALA,56,83,139,9.93
ViralVaghela07,30,69,99,9.9
mugeshkrishna,130,182,312,9.75
S_Hyvdn,230,267,497,9.75
Atharva12345678,85,80,165,9.71
chess_prince15,397,540,937,9.66
annihilator96,238,221,459,9.56
ThisBeBharat,129,222,351,9.49
sam_4,44,98,142,9.47
Tushar886,235,292,527,9.41
anurag1025,168,179,347,9.38
Rigel7,28,47,75,9.38
sarthak_610,65,84,149,9.31
shanu2003,216,265,481,9.25
Arin2003,427,390,817,9.18
NotYourName,43,66,109,9.08
Maadhavan_M_J,63,91,154,9.06
AineshSri,82,99,181,9.05
Gautam_51264,12,6,18,9
Aditya_hembram,81,63,144,9
spirit128,54,54,108,9
dvadash,40,68,108,9
harshpanchal31,28,62,90,9
sherlly_27,86,110,196,8.91
ElakshmiNarayanank,139,152,291,8.82
Moovendhan,18,26,44,8.8
shiva_62003,135,209,344,8.6
gmswaggerSouls,34,43,77,8.56
chesssulfate,1,16,17,8.5
iamnotvedansh,150,180,330,8.46
DakshishVIT,87,89,176,8.38
Vedant3007,36,63,99,8.25
aakashyadav1098,102,112,214,8.23
Shadow_UwU,76,152,228,8.14
itznihal,270,208,478,8.1
Ishaan009,62,116,178,8.09
abhinavspeakss,41,55,96,8
AAkAshyAdAv1098,26,38,64,8
chrisdominic2002,31,49,80,8
KushagrJ,6,10,16,8
Raj_437,22,42,64,8
Pranesh025,0,8,8,8
aalind109_singh,116,146,262,7.94
somyasinghmalik,101,105,206,7.92
KishanKumar17,94,95,189,7.88
mnop_17,33,45,78,7.8
N_Amritanand,31,47,78,7.8
TANISHQDAS022,25,53,78,7.8
Abchack2444,13,18,31,7.75
JurajanaiKatsurada,33,44,77,7.7
Aarjav_7,113,179,292,7.68
naveenkumar0001,175,169,344,7.64
Krish_Goyat,91,107,198,7.62
DHUNDALE12,35,56,91,7.58
